strategy,avg_satisfaction_mean,avg_satisfaction_std,max_slot_crowd_ratio_mean,max_slot_crowd_ratio_std,central_visit_share_mean,central_visit_share_std,hotspot_visit_share_mean,hotspot_visit_share_std
personalized,0.6981009924442158,0.0027016201715976676,0.10341666666666667,0.00813977895103682,0.5307666666666666,0.011211821362811883,0.3293666666666667,0.0075937758788869585
popularity,0.6280845734809227,0.0028593433525205447,0.19618181818181818,0.015953329545885794,0.8623999999999998,0.004534640334465668,0.698,0.0044638465392445965
sustainable,0.6712341876808672,0.003245194675452727,0.0944,0.008474799243771041,0.31176666666666664,0.006008327554319928,0.1802,0.004323921402650182
