strategy,total_visits,avg_satisfaction,avg_interest_match,avg_distance_km,total_co2_kg,avg_visit_sustainability,avg_local_economy,green_visit_share,central_visit_share,hotspot_visit_share,poi_coverage,neighbourhood_entropy,poi_visit_gini,neighbourhood_visit_gini,top_5_poi_visit_share,top_3_neighbourhood_visit_share,overcrowding_index,max_slot_crowd_ratio,visit_over_capacity_share,avg_precision_at_5,avg_recall_at_5,avg_diversity,avg_constraint_respect,avg_mean_recommendation_sustainability
popularity,10000,0.6176952725181767,0.3444470584114657,1.9214306448766632,498.60508268326305,0.47477615000000006,0.4577049999999999,0.2057,0.8598,0.7003,0.16393442622950818,0.5662586815323023,0.8748622950819671,0.798848275862069,0.6863,0.5394,0.0,0.5872727272727273,0.0,0.37318,0.11190294117647058,0.7974102380952381,0.7124199999999999,0.4699273079999999
personalized,10000,0.6950245897290867,0.5274018161165998,2.7463742335170283,778.6923998401644,0.5311845199999999,0.542275,0.198,0.5223,0.3317,0.7540983606557377,0.878135199426933,0.6064295081967213,0.4724413793103448,0.3251,0.279,0.0,0.33,0.0,0.9942800000000002,0.29971875,0.5811559285714285,0.8746,0.535875378
sustainable,10000,0.6699835514354874,0.4903501399911238,2.7108205795139777,784.2139847236433,0.57513428,0.63505,0.2274,0.3131,0.1791,0.9508196721311475,0.9867557112334064,0.4373934426229509,0.15072413793103445,0.1892,0.1441,0.0,0.244,0.0,0.84188,0.2536628676470588,0.6017857857142856,0.9606199999999999,0.5942663920000001
