strategy,total_visits,avg_satisfaction,avg_interest_match,avg_distance_km,total_co2_kg,avg_visit_sustainability,avg_local_economy,green_visit_share,central_visit_share,hotspot_visit_share,poi_coverage,neighbourhood_entropy,poi_visit_gini,neighbourhood_visit_gini,top_5_poi_visit_share,top_3_neighbourhood_visit_share,overcrowding_index,max_slot_crowd_ratio,visit_over_capacity_share,avg_precision_at_5,avg_recall_at_5,avg_diversity,avg_constraint_respect,avg_mean_recommendation_sustainability
popularity,5000,0.596988776338903,0.22701998205128007,0.3425831791323465,23.241231637297425,0.4538371,0.8726800000000001,0.057,0.9072,0.9068,0.2807017543859649,0.36519392904038694,0.8518456140350876,0.8930956521739131,0.6478,0.9068,0.0,0.5133333333333333,0.0,0.31252,0.0985329248366013,0.6780636666666667,0.9464799999999999,0.4293566199999999
personalized,5000,0.7035594139602729,0.49005572591873625,0.8882262252412744,102.22439176373898,0.5560255000000001,0.74267,0.1818,0.4022,0.2566,0.8070175438596491,0.8019987237423138,0.5771157894736842,0.5886260869565219,0.3532,0.4484,0.0,0.32,0.0,0.9759200000000001,0.30804563725490197,0.48334933333333335,0.8941599999999998,0.5533222799999999
sustainable,5000,0.677391879509554,0.44098678614042763,0.8716424986608808,94.22140003482032,0.6030281999999999,0.8217,0.2844,0.2734,0.15,0.8771929824561403,0.9707137168674513,0.48828771929824555,0.2229913043478262,0.2516,0.2178,0.0,0.30666666666666664,0.0,0.70988,0.22389124183006534,0.5120803333333334,0.9351200000000001,0.62463704
